Column1;AR_TER_km2;POP_EST;IDHM;PIB_P_CAP;CD_MUN
3912;2287170;73600;6870;2152976;4100103
3913;1349311;57970;6670;4367747;4100202
3914;1922610;95670;66;2208781;4100301
3915;1948880;1214200;6990;1316804;4100400
3916;3869450;14290;6670;3320641;4100459
3917;66156;222930;7210;1724808;4100509
3918;4077190;149450;6960;2243078;4100608
3919;4476660;97220;6760;309000;4100707
3920;42425;115980;7080;234815;4100806
3921;3847350;64050;6690;2569134;4100905
3922;2983490;194660;7090;3192265;4101002
3923;1028950;27740;6950;3028995;4101051
3924;2360750;198230;7250;3711548;4101101
3925;1060210;29310;7210;3893719;4101150
3926;8823170;189190;6870;2831272;4101200
3927;46962;74210;6560;2529306;4101309
3928;5583890;1374380;7480;2331561;4101408
3929;3822150;1265450;7480;3544069;4101507
3930;1358176;284800;7230;4105691;4101606
3931;2173710;29510;6760;3389805;4101655
3932;4931910;140290;7040;3253831;4101705
3933;46924;1485220;74;11604697;4101804
3934;2395620;20260;67;4117991;4101853
3935;4403470;147920;7280;2593866;4101903
3936;9807270;333060;7290;3680041;4102000
3937;4347920;263040;7470;2914111;4102109
3938;1376630;38710;7360;3500812;4102208
3939;3489260;132380;6960;5391582;4102307
3940;4451920;310610;7270;2485903;4102406
3941;5386360;112870;6960;179935;4102505
3942;1714020;103470;7060;2406718;4102604
3943;1157240;27810;7440;3301566;4102703
3944;1481070;34040;6810;2012501;4102752
3945;2426890;154000;7160;2949552;4102802
3946;1228285;164110;6670;2296566;4102901
3947;3027390;39910;72;4870782;4103008
3948;1517970;24370;7;3693139;4103024
3949;6204530;63430;6550;3647927;4103040
3950;2562970;75240;67;1834591;4103057
3951;8263440;133080;64;1550564;4103107
3952;1738170;34720;6970;2028939;4103156
3953;3227550;71030;6860;1642465;4103206
3954;1959310;32440;7420;6268547;4103222
3955;3343780;62900;7170;3138944;4103305
3956;3433210;53380;7010;3136085;4103354
3957;2910360;25210;6810;7076486;4103370
3958;1858;29730;6930;2315644;4103404
3959;2717240;187830;7480;7766171;4103453
3960;3353920;39750;6920;2533749;4103479
3961;1418170;86410;7220;2086461;4103503
3962;3661530;255690;7210;2858657;4103602
3963;4953750;1081260;7340;3631128;4103701
3964;1633880;79670;7250;2199893;4103800
3965;7966140;138880;7040;2882318;4103909
3966;4484240;38310;63;2411782;4103958
3967;5392450;440720;7180;3651802;4104006
3968;4338320;36940;6810;4244222;4104055
3969;3044880;81180;6860;2583683;4104105
3970;1243551;1356780;7450;3330469;4104204
3971;2753520;301510;7010;1464471;4104253
3972;7496370;961020;7570;4153616;4104303
3973;151016;146060;6290;2086225;4104402
3974;1512786;161260;6350;3201304;4104428
3975;58354;133400;6350;1937891;4104451
3976;4190360;191720;7060;3243722;4104501
3977;2757480;158870;7160;7416076;4104600
3978;64968;242250;7280;5677432;4104659
3979;4514180;143910;7130;2399073;4104709
3980;2101074;3360730;7820;3773302;4104808
3981;2531503;721250;7030;3962973;4104907
3982;5817560;101440;6780;2680332;4105003
3983;3718340;107040;6680;2094344;4105102
3984;1341189;178840;5730;1786232;4105201
3985;1179449;118720;7320;547481;4105300
3986;9596920;190830;74;3409642;4105409
3987;8116660;849800;7550;3266263;4105508
3988;4030450;129390;7180;3316357;4105607
3989;7036380;163440;6940;2793592;4105706
3990;1977930;2492770;7330;2168244;4105805
3991;4075680;242710;73;2589741;4105904
3992;5359630;88960;6680;2343505;4106001
3993;2047050;38910;7070;2475647;4106100
3994;2990370;190820;6810;2184783;4106209
3995;5291370;171620;7380;3581338;4106308
3996;6351;478400;7590;3233082;4106407
3997;1562848;75380;6;2620569;4106456
3998;6844170;204300;7230;328476;4106506
3999;1643410;30380;6380;1991477;4106555
4000;1618620;42290;7090;2677161;4106571
4001;7759840;209620;7170;3963152;4106605
4002;2591030;44300;7130;4128344;4106704
4003;147835;187720;6640;1972121;4106803
4004;3122990;28920;6660;3798142;4106852
4005;4348920;19637260;8230;4545829;4106902
4006;5762630;152890;6560;1548522;4107009
4007;2428870;49750;7230;6795636;4107108
4008;3472330;34090;6080;1562877;4107124
4009;30911;52790;6440;1908591;4107157
4010;4186480;414240;7670;3944927;4107207
4011;4198530;89880;7240;6867724;4107256
4012;1182790;59870;7460;2588651;4107306
4013;1922030;59060;7520;3686293;4107405
4014;46747;139620;73;4021154;4107504
4015;13856;16330;6890;2854776;4107520
4016;1209670;46510;7610;5089483;4107538
4017;32644;39800;6360;2740942;4107546
4018;2892320;29950;7150;5024877;4107553
