Município,Assistente Social,Psicólogo,Psiquiatra,Ações de promoção e prevenção em saúde,Ações complementares de atenção a saude,2017,2018,2019,2020,2021,Column1,AR_TER_km2,POP_EST,IDHM,PIB_P_CAP,CD_MUN
410010 Abatiá,2.0,3.0,0.0,12913,0,0,0,0,0,0,,,,,,
410020 Adrianópolis,1.0,1.0,1.0,561,0,78,50,0,0,0,,,,,,
410030 Agudos do Sul,1.0,3.0,1.0,1846,0,0,0,0,0,0,,,,,,
410040 Almirante Tamandaré,6.0,16.0,2.0,1452,0,890,711,0,0,0,,,,,,
410045 Altamira do Paraná,0.0,1.0,0.0,0,0,0,0,0,0,0,,,,,,
412862 Alto Paraíso,1.0,2.0,0.0,3755,0,0,0,0,0,0,,,,,,
410060 Alto Paraná,2.0,2.0,0.0,0,0,0,0,0,0,0,,,,,,
410070 Alto Piquiri,2.0,4.0,0.0,14947,296,101,76,772,1934,296,,,,,,
410050 Altônia,1.0,9.0,1.0,21203,24043,33309,41230,51933,31605,24043,,,,,,
410080 Alvorada do Sul,1.0,4.0,1.0,53961,0,138,94,0,0,0,,,,,,
410090 Amaporã,0.0,0.0,0.0,22800,0,0,0,0,0,0,,,,,,
410100 Ampére,2.0,3.0,1.0,56656,65,317,567,1309,0,65,,,,,,
410105 Anahy,2.0,2.0,1.0,340,0,32,4,0,0,0,,,,,,
410110 Andirá,3.0,8.0,1.0,836,0,49,29,0,0,0,,,,,,
410115 Ângulo,1.0,2.0,0.0,2327,0,0,0,0,0,0,,,,,,
410120 Antonina,2.0,3.0,1.0,25812,0,0,0,0,0,0,,,,,,
410130 Antônio Olinto,2.0,2.0,0.0,16678,0,33,39,0,0,0,,,,,,
410140 Apucarana,23.0,97.0,7.0,22773,0,0,0,0,0,0,,,,,,
410150 Arapongas,12.0,31.0,5.0,324038,0,117,0,5,0,0,,,,,,
410160 Arapoti,3.0,6.0,0.0,53647,0,174,93,0,0,0,,,,,,
410165 Arapuã,0.0,1.0,0.0,0,0,88,30,0,0,0,,,,,,
410170 Araruna,2.0,8.0,0.0,41499,0,108,62,0,0,0,,,,,,
410180 Araucária,18.0,64.0,4.0,701796,11356,16877,17805,16901,16939,11356,,,,,,
410185 Ariranha do Ivaí,1.0,3.0,0.0,0,0,13,8,0,0,0,,,,,,
410190 Assaí,2.0,4.0,1.0,33565,0,0,0,0,0,0,,,,,,
410200 Assis Chateaubriand,5.0,14.0,1.0,42155,0,128,119,0,0,0,,,,,,
410210 Astorga,4.0,8.0,0.0,3792,0,442,192,0,0,0,,,,,,
410220 Atalaia,2.0,4.0,1.0,20926,0,16,0,0,0,0,,,,,,
410230 Balsa Nova,1.0,5.0,0.0,619,0,56,48,0,0,0,,,,,,
410240 Bandeirantes,5.0,10.0,4.0,2352,0,301,160,0,0,0,,,,,,
410250 Barbosa Ferraz,1.0,5.0,1.0,430,0,51,14,0,0,0,,,,,,
410270 Barra do Jacaré,1.0,1.0,0.0,0,0,24,0,0,0,0,,,,,,
410260 Barracão,2.0,5.0,1.0,21323,15815,66,1838,17977,13170,15815,,,,,,
410275 Bela Vista da Caroba,1.0,4.0,1.0,13757,0,0,0,0,0,0,,,,,,
410280 Bela Vista do Paraíso,5.0,5.0,1.0,31365,0,55,82,0,0,0,,,,,,
410290 Bituruna,4.0,3.0,0.0,7985,0,0,0,0,0,0,,,,,,
410300 Boa Esperança,0.0,2.0,0.0,10671,0,20,14,0,0,0,,,,,,
410302 Boa Esperança do Iguaçu,1.0,2.0,0.0,7386,0,0,0,0,0,0,,,,,,
410304 Boa Ventura de São Roque,0.0,1.0,0.0,753,0,11,2,0,0,0,,,,,,
410305 Boa Vista da Aparecida,2.0,5.0,0.0,13841,163,1169,11981,29585,9582,163,,,,,,
410310 Bocaiúva do Sul,1.0,3.0,1.0,793,0,66,0,0,0,0,,,,,,
410315 Bom Jesus do Sul,1.0,2.0,0.0,28420,0,3,0,0,0,0,,,,,,
410320 Bom Sucesso,2.0,3.0,1.0,38544,0,0,0,0,0,0,,,,,,
410322 Bom Sucesso do Sul,0.0,2.0,1.0,36633,0,0,0,0,0,0,,,,,,
410330 Borrazópolis,2.0,5.0,1.0,31562,0,0,0,0,0,0,,,,,,
410335 Braganey,1.0,2.0,0.0,8209,0,27,0,0,0,0,,,,,,
410337 Brasilândia do Sul,0.0,2.0,0.0,18835,0,26,25,0,0,0,,,,,,
410340 Cafeara,1.0,2.0,0.0,390,0,2,0,0,0,0,,,,,,
410345 Cafelândia,4.0,8.0,0.0,68574,0,138,173,0,0,0,,,,,,
410347 Cafezal do Sul,0.0,1.0,0.0,490,0,38,28,0,0,0,,,,,,
410350 Califórnia,3.0,4.0,0.0,2351,0,0,0,0,0,0,,,,,,
410360 Cambará,3.0,7.0,0.0,450,0,14,4,0,0,0,,,,,,
410370 Cambé,9.0,22.0,3.0,629289,0,521,364,0,0,0,,,,,,
410380 Cambira,5.0,6.0,0.0,1215,0,0,0,0,0,0,,,,,,
410390 Campina da Lagoa,1.0,2.0,0.0,47077,0,120,33,0,0,0,,,,,,
410395 Campina do Simão,1.0,1.0,0.0,3700,0,21,27,0,0,0,,,,,,
410400 Campina Grande do Sul,9.0,12.0,4.0,61,0,327,295,0,0,0,,,,,,
410405 Campo Bonito,3.0,2.0,1.0,0,0,16,0,0,0,0,,,,,,
410410 Campo do Tenente,2.0,3.0,0.0,1041,0,34,31,0,0,0,,,,,,
410420 Campo Largo,16.0,40.0,5.0,6180,0,13835,0,0,0,0,,,,,,
410425 Campo Magro,1.0,5.0,4.0,52948,0,0,0,0,0,0,,,,,,
410430 Campo Mourão,18.0,143.0,8.0,112429,118724,66820,1846,154354,112072,118724,,,,,,
410440 Cândido de Abreu,2.0,3.0,0.0,0,0,134,31,0,0,0,,,,,,
410442 Candói,5.0,3.0,0.0,59921,0,45,0,0,0,0,,,,,,
410445 Cantagalo,2.0,3.0,0.0,3129,0,44,54,0,0,0,,,,,,
410450 Capanema,2.0,4.0,0.0,40255,0,0,122,3,0,0,,,,,,
410460 Capitão Leônidas Marques,3.0,6.0,0.0,107,0,190,113,0,0,0,,,,,,
410465 Carambeí,3.0,3.0,0.0,27368,0,210,189,0,0,0,,,,,,
410470 Carlópolis,2.0,5.0,0.0,0,0,0,0,0,0,0,,,,,,
410480 Cascavel,146.0,220.0,25.0,554132,0,2368,2390,816,612,0,,,,,,
410490 Castro,5.0,18.0,0.0,29817,0,782,1046,0,0,0,,,,,,
410500 Catanduvas,2.0,4.0,0.0,0,0,126,122,0,0,0,,,,,,
410510 Centenário do Sul,2.0,2.0,1.0,1299,0,109,32,0,0,0,,,,,,
410520 Cerro Azul,1.0,1.0,0.0,900,0,68,72,0,0,0,,,,,,
410530 Céu Azul,2.0,3.0,0.0,16857,0,63,21,0,0,0,,,,,,
410540 Chopinzinho,4.0,13.0,1.0,20359,41121,21488,38070,44132,33522,41121,,,,,,
410550 Cianorte,10.0,49.0,4.0,9526,79422,84172,97951,140945,73136,79422,,,,,,
410560 Cidade Gaúcha,2.0,5.0,0.0,79242,0,0,0,0,0,0,,,,,,
410570 Clevelândia,2.0,4.0,1.0,7584,0,101,69,0,0,0,,,,,,
410580 Colombo,6.0,31.0,3.0,826952,0,2806,2010,14,0,0,,,,,,
410590 Colorado,4.0,10.0,2.0,223546,0,87,12,0,0,0,,,,,,
410600 Congonhinhas,1.0,4.0,1.0,274,0,0,0,0,0,0,,,,,,
410610 Conselheiro Mairinck,2.0,2.0,0.0,75,0,13,1,0,0,0,,,,,,
410620 Contenda,2.0,7.0,1.0,10813,0,222,0,0,0,0,,,,,,
410630 Corbélia,2.0,2.0,0.0,57084,0,141,40,0,0,0,,,,,,
410640 Cornélio Procópio,13.0,50.0,3.0,3149,0,241,163,0,0,0,,,,,,
410645 Coronel Domingos Soares,1.0,2.0,0.0,6477,0,36,11,0,0,0,,,,,,
410650 Coronel Vivida,4.0,8.0,0.0,94317,0,103,99,0,0,0,,,,,,
410655 Corumbataí do Sul,0.0,1.0,0.0,3297,0,10,24,0,0,0,,,,,,
410680 Cruz Machado,4.0,5.0,0.0,13579,0,0,0,0,0,0,,,,,,
410657 Cruzeiro do Iguaçu,2.0,2.0,0.0,12112,0,0,0,0,0,0,,,,,,
410660 Cruzeiro do Oeste,6.0,9.0,1.0,72523,19285,16661,26539,34476,19165,19285,,,,,,
410670 Cruzeiro do Sul,0.0,0.0,0.0,908,0,0,0,0,0,0,,,,,,
410685 Cruzmaltina,1.0,2.0,0.0,0,0,45,58,0,0,0,,,,,,
410690 Curitiba,291.0,1500.0,217.0,575068,0,15001,0,0,0,0,,,,,,
410700 Curiúva,1.0,3.0,0.0,24552,0,21,0,0,0,0,,,,,,
410715 Diamante D'Oeste,1.0,1.0,0.0,0,0,0,0,0,0,0,,,,,,
410710 Diamante do Norte,2.0,1.0,0.0,416,0,28,0,0,0,0,,,,,,
410712 Diamante do Sul,1.0,1.0,0.0,5126,0,0,0,0,0,0,,,,,,
410720 Dois Vizinhos,5.0,18.0,2.0,195127,0,43228,37951,0,0,0,,,,,,
410725 Douradina,1.0,6.0,0.0,31512,1264,2264,374,1828,2332,1264,,,,,,
410730 Doutor Camargo,2.0,4.0,0.0,0,0,0,0,0,0,0,,,,,,
412863 Doutor Ulysses,0.0,1.0,0.0,0,0,0,0,0,0,0,,,,,,
410740 Enéas Marques,1.0,3.0,0.0,11920,0,0,0,0,0,0,,,,,,
410750 Engenheiro Beltrão,2.0,4.0,1.0,77282,0,53,33,401,0,0,,,,,,
410753 Entre Rios do Oeste,0.0,1.0,0.0,35924,0,0,0,0,0,0,,,,,,
410752 Esperança Nova,1.0,2.0,0.0,69,4691,8311,21,0,0,4691,,,,,,
410754 Espigão Alto do Iguaçu,0.0,1.0,0.0,782,0,41,51,0,0,0,,,,,,
410755 Farol,0.0,1.0,0.0,822,0,29,0,0,0,0,,,,,,
410760 Faxinal,1.0,5.0,0.0,41892,0,0,0,0,0,0,,,,,,
410765 Fazenda Rio Grande,5.0,22.0,1.0,12552,0,1034,899,0,0,0,,,,,,
410770 Fênix,1.0,2.0,0.0,553,0,51,7,0,0,0,,,,,,
410773 Fernandes Pinheiro,1.0,2.0,0.0,0,0,0,0,0,0,0,,,,,,
410775 Figueira,3.0,2.0,0.0,749,0,0,0,0,0,0,,,,,,
410785 Flor da Serra do Sul,1.0,1.0,1.0,5600,6998,26,17,0,0,6998,,,,,,
410780 Floraí,1.0,3.0,0.0,0,0,0,0,0,0,0,,,,,,
410790 Floresta,0.0,2.0,0.0,21296,0,47,16,0,0,0,,,,,,
410800 Florestópolis,2.0,4.0,0.0,14313,0,0,0,0,0,0,,,,,,
410810 Flórida,3.0,8.0,0.0,617087,0,0,0,0,0,0,,,,,,
410820 Formosa do Oeste,0.0,2.0,1.0,2562,0,57,41,0,0,0,,,,,,
410830 Foz do Iguaçu,36.0,124.0,14.0,5172,0,0,0,0,0,0,,,,,,
410845 Foz do Jordão,2.0,3.0,0.0,19603,0,22,22,0,0,0,,,,,,
410832 Francisco Alves,0.0,1.0,0.0,24753,4478,330,15236,25058,15695,4478,,,,,,
410840 Francisco Beltrão,28.0,67.0,1.0,31293,823,1080,1562,0,975,823,,,,,,
410850 General Carneiro,2.0,3.0,0.0,6671,0,49,6,0,0,0,,,,,,
410855 Godoy Moreira,2.0,2.0,0.0,0,0,71,58,0,0,0,,,,,,
410860 Goioerê,5.0,13.0,1.0,86191,0,186,55,0,0,0,,,,,,
410865 Goioxim,0.0,2.0,0.0,23296,0,0,0,0,0,0,,,,,,
410870 Grandes Rios,2.0,3.0,0.0,10940,0,0,0,0,0,0,,,,,,
410880 Guaíra,4.0,12.0,0.0,1875,0,0,0,1110,0,0,,,,,,
410890 Guairaçá,2.0,2.0,0.0,30619,0,45,27,0,0,0,,,,,,
410895 Guamiranga,2.0,5.0,0.0,2792,0,0,0,0,0,0,,,,,,
410900 Guapirama,1.0,1.0,1.0,26151,0,0,0,0,0,0,,,,,,
410910 Guaporema,0.0,0.0,0.0,25494,0,19,19,0,0,0,,,,,,
410920 Guaraci,1.0,2.0,0.0,1619,0,0,0,0,0,0,,,,,,
410930 Guaraniaçu,2.0,5.0,0.0,299,0,0,0,0,0,0,,,,,,
410940 Guarapuava,28.0,96.0,3.0,2335,59013,1971,1687,0,0,59013,,,,,,
410950 Guaraqueçaba,1.0,2.0,0.0,722,0,47,44,0,0,0,,,,,,
410960 Guaratuba,3.0,11.0,1.0,6803,0,79,0,0,0,0,,,,,,
410965 Honório Serpa,1.0,2.0,0.0,3607,0,20,7,0,0,0,,,,,,
410970 Ibaiti,3.0,6.0,0.0,4408,0,87,0,0,0,0,,,,,,
410975 Ibema,2.0,2.0,0.0,0,0,0,0,0,0,0,,,,,,
410980 Ibiporã,8.0,16.0,3.0,36207,0,0,35,0,0,0,,,,,,
410990 Icaraíma,2.0,5.0,0.0,26645,0,23148,30319,47623,20720,0,,,,,,
411000 Iguaraçu,1.0,5.0,0.0,4437,0,49,41,0,0,0,,,,,,
411005 Iguatu,1.0,1.0,0.0,185,0,0,0,0,0,0,,,,,,
411007 Imbaú,2.0,2.0,0.0,0,0,53,2,0,0,0,,,,,,
411010 Imbituva,2.0,3.0,0.0,83137,0,465,330,0,0,0,,,,,,
411020 Inácio Martins,2.0,4.0,0.0,257,0,0,0,0,0,0,,,,,,
411030 Inajá,0.0,1.0,0.0,337,0,0,0,0,0,0,,,,,,
411040 Indianópolis,2.0,3.0,0.0,41430,0,0,0,0,0,0,,,,,,
411050 Ipiranga,2.0,6.0,0.0,740,0,0,0,0,0,0,,,,,,
411060 Iporã,1.0,3.0,0.0,10632,0,120,70,0,0,0,,,,,,
411065 Iracema do Oeste,1.0,2.0,0.0,0,0,0,22,0,0,0,,,,,,
411070 Irati,8.0,25.0,0.0,192231,0,182,86,0,0,0,,,,,,
411080 Iretama,3.0,3.0,0.0,21036,0,133,115,0,0,0,,,,,,
411090 Itaguajé,1.0,2.0,0.0,0,0,0,0,0,0,0,,,,,,
411095 Itaipulândia,1.0,5.0,0.0,75674,0,139,148,0,0,0,,,,,,
411100 Itambaracá,0.0,1.0,0.0,375,0,45,23,0,0,0,,,,,,
411110 Itambé,0.0,2.0,0.0,15206,0,1,27,0,0,0,,,,,,
411120 Itapejara d'Oeste,1.0,7.0,0.0,35353,0,107,88,0,0,0,,,,,,
411125 Itaperuçu,3.0,6.0,0.0,0,0,0,91,0,0,0,,,,,,
411130 Itaúna do Sul,1.0,1.0,0.0,211,0,21,3,0,0,0,,,,,,
411140 Ivaí,2.0,4.0,0.0,12839,0,0,0,0,0,0,,,,,,
411150 Ivaiporã,9.0,25.0,0.0,3998,0,273,169,0,0,0,,,,,,
411155 Ivaté,1.0,3.0,0.0,11005,0,61,21,0,0,0,,,,,,
411160 Ivatuba,0.0,2.0,0.0,14886,0,0,0,0,0,0,,,,,,
411170 Jaboti,2.0,1.0,0.0,1574,0,8,6,0,0,0,,,,,,
411180 Jacarezinho,6.0,34.0,2.0,247315,0,148,0,0,0,0,,,,,,
411190 Jaguapitã,2.0,4.0,0.0,0,0,0,0,0,0,0,,,,,,
411200 Jaguariaíva,4.0,6.0,1.0,77317,0,210,115,0,0,0,,,,,,
411210 Jandaia do Sul,8.0,17.0,5.0,1593,0,0,0,0,0,0,,,,,,
411220 Janiópolis,1.0,2.0,0.0,27534,0,24,14,0,0,0,,,,,,
411230 Japira,1.0,1.0,0.0,323,0,52,0,0,0,0,,,,,,
411240 Japurá,2.0,2.0,0.0,43852,0,0,17,0,0,0,,,,,,
411250 Jardim Alegre,2.0,4.0,0.0,0,0,0,0,0,0,0,,,,,,
411260 Jardim Olinda,1.0,0.0,0.0,0,0,0,0,0,0,0,,,,,,
411270 Jataizinho,2.0,2.0,0.0,1122,0,25,0,0,0,0,,,,,,
411275 Jesuítas,0.0,1.0,0.0,0,0,0,0,0,0,0,,,,,,
411280 Joaquim Távora,1.0,4.0,0.0,122047,0,44,0,0,0,0,,,,,,
411290 Jundiaí do Sul,1.0,1.0,0.0,10013,0,0,0,0,0,0,,,,,,
411295 Juranda,1.0,3.0,0.0,33821,0,100,55,0,0,0,,,,,,
